tools	EDAM term URI	candidate EDAM term label	annotation	domain	edam_category
MOFA2	http://edamontology.org/operation_3935	Dimensionality reduction	factor analysis	Systems_biology	topics
MOFA2	http://edamontology.org/format_3590	HDF5	hdf5	Systems_biology	formats
MOFA2	http://edamontology.org/operation_3935	Dimension reduction	joint dimension reduction	Systems_biology	topics
MOFA2	http://edamontology.org/operation_3935	Dimensionality reduction	joint matrix factorisation	Systems_biology	operations
MOFA2	http://edamontology.org/format_3033	Matrix format	matrices	Systems_biology	formats
MOFA2	http://edamontology.org/operation_3935	Dimensionality reduction	matrix factorization	Systems_biology	operations
MOFA2	http://edamontology.org/topic_4021	Multiomics 	multi-omics data integration	Systems_biology	topics
MOFA2	http://edamontology.org/data_2082	Matrix	omics matrices	Systems_biology	data
MOFA2	http://edamontology.org/operation_3935	Dimensionality reduction	reduction dimension	Systems_biology	operations
MOFA2	http://edamontology.org/operation_2238	Statistical calculation	variance decomposition	Systems_biology	operations
MULTIXRANK	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
MULTIXRANK	http://edamontology.org/format_3464	JSON	json	Systems_biology	formats
MULTIXRANK	http://edamontology.org/operation_3927	Network analysis	network analysis	Systems_biology	topics
MULTIXRANK	http://edamontology.org/operation_3927	Network analysis	network biology	Systems_biology	topics
MULTIXRANK	http://edamontology.org/operation_3927	Network analysis	network exploration	Systems_biology	topics
MULTIXRANK	http://edamontology.org/operation_3927	Network analysis	random walk with restart	Systems_biology	operations
MULTIXRANK	http://edamontology.org/format_3619	sif	sif	Systems_biology	formats
MULTIXRANK	http://edamontology.org/format_3475	TSV	tsv	Systems_biology	formats
MULTIXRANK	http://edamontology.org/format_2330	Textual format	txt	Systems_biology	formats
MULTIXRANK	http://edamontology.org/format_3750	YAML	yaml	Systems_biology	formats
MetaBAT2	http://edamontology.org/data_3707	Biodiversity data	abundance profiling	Metagenomic	data
MetaBAT2	http://edamontology.org/format_2572	BAM	bam	Metagenomic	formats
MetaBAT2	http://edamontology.org/data_0925	Sequence Assembly	contigs	Metagenomic	data
MetaBAT2	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
MetaBAT2	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
MetaBAT2	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Metagenomic	topics
MetaBAT2	http://edamontology.org/topic_3168	Sequencing	sequencing	Metagenomic	topics
MetaBAT2	http://edamontology.org/data_1265	Base frequencies table	tetranucleotide frequencies	Metagenomic	data
MetaBAT2	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
Minimap2	http://edamontology.org/operation_0292	Sequence alignment	alignment of long reads to reference sequence (or genome)	Genetic_variant	operations
Minimap2	http://edamontology.org/topic_0080	Sequence analysis	dna sequence aligner to reference sequences	Genetic_variant	topics
Minimap2	http://edamontology.org/format_1929	FASTA	fasta	Genetic_variant	formats
Minimap2	http://edamontology.org/format_1930	FASTQ	fastq	Genetic_variant	formats
Minimap2	http://edamontology.org/operation_0227	Indexing	indexing	Genetic_variant	operations
Minimap2	http://edamontology.org/format_3326	Data index format	mmi	Genetic_variant	formats
Minimap2	http://edamontology.org/data_0924	Sequence trace	raw reads	Genetic_variant	data
Minimap2	http://edamontology.org/data_0926	RH scores	reference genome	Genetic_variant	data
Minimap2	http://edamontology.org/data_1234	Sequence set (nucleic acid)	reference reads	Genetic_variant	data
Minimap2	http://edamontology.org/operation_0292	Sequence alignment	rna sequence aligner to reference sequences	Genetic_variant	topics
Minimap2	http://edamontology.org/format_2573	SAM	sam	Genetic_variant	formats
Minimap2	http://edamontology.org/data_0863	Sequence alignment	sequence alignment formats	Genetic_variant	data
Monocle3	http://edamontology.org/data_2099	Name	branch labels	Single_Cell	data
Monocle3	http://edamontology.org/format_3916	MTX	bundle format (mtx)	Single_Cell	formats
Monocle3	http://edamontology.org/operation_0315	Expression profile comparison	cell trajectories inference	Single_Cell	operations
Monocle3	http://edamontology.org/topic_4028	Single-cell sequencing	cell trajectories inference	Single_Cell	topics
Monocle3	http://edamontology.org/operation_3432	Clustering	clustering	Single_Cell	operations
Monocle3	http://edamontology.org/format_3752	CSV	csv	Single_Cell	formats
Monocle3	http://edamontology.org/operation_3223	Differential expression analysis	differential expression over cell trajectory	Single_Cell	operations
Monocle3	http://edamontology.org/data_2082	Matrix	differential expression results	Single_Cell	data
Monocle3	http://edamontology.org/data_3112	Gene expression matrix	expression matrices	Single_Cell	data
Monocle3	http://edamontology.org/format_3579	JPEG	jpeg	Single_Cell	formats
Monocle3	http://edamontology.org/operation_3435	Normalization	normalization	Single_Cell	operations
Monocle3	http://edamontology.org/format_3508	PDF	pdf	Single_Cell	formats
Monocle3	http://edamontology.org/data_2884	Plot	plots	Single_Cell	data
Monocle3	http://edamontology.org/format_3603	PNG	png	Single_Cell	formats
Monocle3	http://edamontology.org/data_2082	Matrix	pseudotime values	Single_Cell	data
Monocle3	http://edamontology.org/format_2333	Binary format	rds	Single_Cell	formats
Monocle3	http://edamontology.org/operation_3935	Dimensionality reduction	reduction dimensions	Single_Cell	operations
Monocle3	http://edamontology.org/topic_4028	Single-cell sequencing	single-cell genomic	Single_Cell	topics
Monocle3	http://edamontology.org/format_3603	SVG	svg	Single_Cell	formats
Monocle3	http://edamontology.org/data_3870	Trajectory data	trajectory graph	Single_Cell	data
Monocle3	http://edamontology.org/data_3870	Trajectory data	trajectory tree	Single_Cell	data
Monocle3	http://edamontology.org/format_3475	TSV	tsv	Single_Cell	formats
Monocle3	http://edamontology.org/operation_0337	Visualisation	visualisations	Single_Cell	operations
PhyML	http://edamontology.org/topic_0084	Phylogenetics	likelihood-based phylogenetics	Phylogeny	topics
PhyML	http://edamontology.org/operation_0547	Phylogenetic inference (maximum likelihood and Bayesian methods)	maximum-likelihood tree inference	Phylogeny	operations
PhyML	http://edamontology.org/topic_3945	Molecular evolution	molecular evolution	Phylogeny	topics
PhyML	http://edamontology.org/data_0863	Sequence alignment	multiple sequence alignment	Phylogeny	data
PhyML	http://edamontology.org/format_1910	newick	newick	Phylogeny	formats
PhyML	http://edamontology.org/format_1435	phylip	phylip	Phylogeny	formats
PhyML	http://edamontology.org/topic_3293	Phylogenetics	phylogenetics	Phylogeny	topics
PhyML	http://edamontology.org/data_0872	Phylogenetic tree	phylogeny trees with support values	Phylogeny	data
PhyML	http://edamontology.org/data_1439	DNA substitution model	sequence evolution model	Phylogeny	data
PhyML	http://edamontology.org/operation_0323	Phlyogenetic tree construction	tree inference	Phylogeny	operations
RWR	http://edamontology.org/format_3033	Matrix format	adjacency matrix	Systems_biology	formats
RWR	http://edamontology.org/data_2600	Network	biological networks	Systems_biology	data
RWR	http://edamontology.org/data_1772	Score	convergence scores	Systems_biology	data
RWR	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
RWR	http://edamontology.org/operation_2454	Gene prediction	disease gene prediction	Systems_biology	topics
RWR	http://edamontology.org/format_3822	GML	gml	Systems_biology	formats
RWR	http://edamontology.org/data_2600	Pathway or network	network	Systems_biology	data
RWR	http://edamontology.org/operation_3927	Network analysis	network analysis	Systems_biology	topics
RWR	http://edamontology.org/operation_3927	Network analysis	network exploration	Systems_biology	topics
RWR	http://edamontology.org/operation_3927	Network analysis	network propagation	Systems_biology	topics
RWR	http://edamontology.org/operation_3927	Network analysis	random walk with restart	Systems_biology	operations
RWR	http://edamontology.org/format_3619	sif	sif	Systems_biology	formats
RWR	http://edamontology.org/format_3475	TSV	tsv	Systems_biology	formats
SNF	http://edamontology.org/operation_3432	Clustering	clustering	Systems_biology	operations
SNF	http://edamontology.org/operation_3432	Clustering	clustering	Systems_biology	topics
SNF	http://edamontology.org/operation_3927	Network analysis	consensus network building	Systems_biology	operations
SNF	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
SNF	http://edamontology.org/data_2600	Pathway or network	fused networks	Systems_biology	data
SNF	http://edamontology.org/data_2855	Distance matrix	fused similarity matrix	Systems_biology	data
SNF	http://edamontology.org/format_3033	Matrix format	matrix	Systems_biology	formats
SNF	http://edamontology.org/topic_3391	Omics	multi-omics profiles	Systems_biology	data
SNF	http://edamontology.org/operation_3927	Network analysis	network analysis	Systems_biology	topics
SNF	http://edamontology.org/operation_3927	Network analysis	network integration	Systems_biology	topics
SNF	http://edamontology.org/operation_3927	Network analysis	networks fusion	Systems_biology	operations
SNF	http://edamontology.org/topic_3391	Omics	omics	Systems_biology	data
SNF	http://edamontology.org/topic_3577	Personalised medicine	patient stratification	Systems_biology	topics
SNF	http://edamontology.org/data_2082	Matrix	similarity matrices	Systems_biology	data
SNF	http://edamontology.org/format_3475	TSV	tsv	Systems_biology	formats
SNF 	http://edamontology.org/topic_4021	Multiomics 	multi-omics data integration	Systems_biology	topics
SPM	http://edamontology.org/data_3442	MRI image	anatomical mri	Neuroimaging	data
SPM	http://edamontology.org/topic_3384	Medical imaging	brain imaging	Neuroimaging	topics
SPM	http://edamontology.org/format_3548	DICOM format	dicom	Neuroimaging	formats
SPM	http://edamontology.org/topic_3384	Medical Imaging	eeg analysis	Neuroimaging	topics
SPM	http://edamontology.org/data_3442	MRI image	fmri	Neuroimaging	data
SPM	http://edamontology.org/topic_3444	MRI	functional & anatomical MRI preprocesing	Neuroimaging	topics
SPM	http://edamontology.org/operation_2238	Statistical calculation	group statistical analysis	Neuroimaging	operations
SPM	http://edamontology.org/format_3579	jpeg	jpeg	Neuroimaging	formats
SPM	http://edamontology.org/format_3626	MAT	mat	Neuroimaging	formats
SPM	http://edamontology.org/topic_3384	Medical imaging	neuroimaging	Neuroimaging	topics
SPM	http://edamontology.org/format_3549	Image format	nifti	Neuroimaging	formats
SPM	http://edamontology.org/format_3508	PDF	pdf	Neuroimaging	formats
SPM	http://edamontology.org/data_0006	Data	preprocessed data	Neuroimaging	data
SPM	http://edamontology.org/format_3696	PS	ps	Neuroimaging	formats
SPM	http://edamontology.org/data_2048	Report	results reports	Neuroimaging	data
SPM	http://edamontology.org/data_0951	Statistical estimate score	statistical parametric maps	Neuroimaging	data
SPM	http://edamontology.org/operation_2238	Statistical calculation	subject statistical analysis	Neuroimaging	operations
SPM	http://edamontology.org/operation_0337	Visualisation	visualization	Neuroimaging	operations
STAR	http://edamontology.org/data_0863	Sequence alignment	alignment file	Genetic_variant	data
STAR	http://edamontology.org/operation_0292	Sequence alignment	alignment of rna sequencing to reference sequence (or genome)	Genetic_variant	operations
STAR	http://edamontology.org/format_2572	BAM	bam	Genetic_variant	formats
STAR	http://edamontology.org/format_1929	FASTA	fasta	Genetic_variant	formats
STAR	http://edamontology.org/format_1930	FASTQ	fastq	Genetic_variant	formats
STAR	http://edamontology.org/data_0916	Gene annotation	gene annotation	Genetic_variant	data
STAR	http://edamontology.org/format_2306	GTF	gtf	Genetic_variant	formats
STAR	http://edamontology.org/operation_0227	Indexing	indexing	Genetic_variant	operations
STAR	http://edamontology.org/data_0924	Sequence trace	raw sequencing reads	Genetic_variant	data
STAR	http://edamontology.org/operation_3198	Read mapping	read mapping	Genetic_variant	operations
STAR	http://edamontology.org/data_0926	RH scores	reference genome	Genetic_variant	data
STAR	http://edamontology.org/topic_3170	RNA sequencing	rna sequencing	Genetic_variant	topics
STAR	http://edamontology.org/format_2573	SAM	sam	Genetic_variant	formats
STAR	http://edamontology.org/operation_0292	Sequence alignment	sequence alignment	Genetic_variant	topics
Samtools_index	http://edamontology.org/data_0863	Sequence alignment	alignment file	Genetic_variant	data
Samtools_index	http://edamontology.org/format_3327	BAI	bai	Genetic_variant	formats
Samtools_index	http://edamontology.org/format_2572	BAM	bam	Genetic_variant	formats
Samtools_index	http://edamontology.org/format_3326	Data index format	crai	Genetic_variant	formats
Samtools_index	http://edamontology.org/format_3462	CRAM	cram	Genetic_variant	formats
Samtools_index	http://edamontology.org/format_3326	Data index format	csi	Genetic_variant	formats
Samtools_index	http://edamontology.org/topic_3168	DNA-Seq	dna sequencing	Genetic_variant	topics
Samtools_index	http://edamontology.org/data_3210	Genome index	index alignment file	Genetic_variant	data
Samtools_index	http://edamontology.org/operation_0227	Indexing	indexing alignment file	Genetic_variant	operations
Samtools_index	http://edamontology.org/format_2573	SAM	sam	Genetic_variant	formats
Samtools_index	http://edamontology.org/operation_0292	Sequence alignment	sequence alignment	Genetic_variant	topics
Scanpy	http://edamontology.org/format_3916	MTX	bundle format (mtx)	Single_Cell	formats
Scanpy	http://edamontology.org/operation_0315	Expression profile comparison	cell trajectory inference	Single_Cell	operations
Scanpy	http://edamontology.org/data_0842	Identifier	cluster labels	Single_Cell	data
Scanpy	http://edamontology.org/operation_3432	Clustering	clustering	Single_Cell	operations
Scanpy	http://edamontology.org/format_3752	CSV	csv	Single_Cell	formats
Scanpy	http://edamontology.org/data_2082	Matrix	differential expression results	Single_Cell	data
Scanpy	http://edamontology.org/operation_3223	Differential expression analysis	differential expression testing	Single_Cell	operations
Scanpy	http://edamontology.org/operation_3935	Dimensionality reduction	dimensionality reduction	Single_Cell	operations
Scanpy	http://edamontology.org/data_2914	Sequence features metadata	feature metadata	Single_Cell	data
Scanpy	http://edamontology.org/format_3590	HDF5	h5ad	Single_Cell	formats
Scanpy	http://edamontology.org/format_3590	HDF5	hdf5	Single_Cell	formats
Scanpy	http://edamontology.org/data_2968	Image	images	Single_Cell	data
Scanpy	http://edamontology.org/format_3579	JPEG	jpeg	Single_Cell	formats
Scanpy	http://edamontology.org/operation_3435	Normalization	normalization	Single_Cell	operations
Scanpy	http://edamontology.org/format_3508	PDF	pdf	Single_Cell	formats
Scanpy	http://edamontology.org/data_2884	Plot	plots	Single_Cell	data
Scanpy	http://edamontology.org/format_3603	PNG	png	Single_Cell	formats
Scanpy	http://edamontology.org/data_3112	Gene expression matrix	processed expression matrix	Single_Cell	data
Scanpy	http://edamontology.org/data_2082	Matrix	pseudotime values	Single_Cell	data
Scanpy	http://edamontology.org/data_3917	Count matrix	raw count matrix	Single_Cell	data
Scanpy	http://edamontology.org/topic_4028	Single-cell sequencing	single-cell genomic	Single_Cell	topics
Scanpy	http://edamontology.org/format_3603	SVG	svg	Single_Cell	formats
Scanpy	http://edamontology.org/data_3768	Clustered expression profiles	table results	Single_Cell	data
Scanpy	http://edamontology.org/format_3591	TIFF	tiff	Single_Cell	formats
Scanpy	http://edamontology.org/data_3870	Trajectory data	trajectory graph	Single_Cell	data
Scanpy	http://edamontology.org/topic_4028	Single-cell sequencing	trajectory inference	Single_Cell	topics
Scanpy	http://edamontology.org/data_3870	Trajectory data	trajectory tree	Single_Cell	data
Scanpy	http://edamontology.org/format_3475	TSV	tsv	Single_Cell	formats
Scanpy	http://edamontology.org/operation_0337	Visualisation	visualization	Single_Cell	operations
Seurat	http://edamontology.org/format_3916	MTX	bundle format (mtx)	Single_Cell	formats
Seurat	http://edamontology.org/data_2082	Matrix	cell embeddings	Single_Cell	data
Seurat	http://edamontology.org/data_0842	Identifier	cluster labels	Single_Cell	data
Seurat	http://edamontology.org/operation_3432	Clustering	clustering	Single_Cell	operations
Seurat	http://edamontology.org/format_3752	CSV	csv	Single_Cell	formats
Seurat	http://edamontology.org/operation_3223	Differential expression analysis	differential expression testing	Single_Cell	operations
Seurat	http://edamontology.org/operation_3935	Dimensionality reduction	dimensionality reduction	Single_Cell	operations
Seurat	http://edamontology.org/data_3112	Gene expression matrix	expression matrix	Single_Cell	data
Seurat	http://edamontology.org/data_2914	Sequence features metadata	feature metadata	Single_Cell	data
Seurat	http://edamontology.org/format_3590	HDF5	hdf5	Single_Cell	formats
Seurat	http://edamontology.org/data_2968	Image	images	Single_Cell	data
Seurat	http://edamontology.org/format_3579	JPEG	jpeg	Single_Cell	formats
Seurat	http://edamontology.org/operation_3435	Normalization	normalization	Single_Cell	operations
Seurat	http://edamontology.org/format_3508	PDF	pdf	Single_Cell	formats
Seurat	http://edamontology.org/data_2884	Plot	plots	Single_Cell	data
Seurat	http://edamontology.org/format_3603	PNG	png	Single_Cell	formats
Seurat	http://edamontology.org/data_3917	Count matrix	raw count matrix	Single_Cell	data
Seurat	http://edamontology.org/format_2333	Binary format	rds	Single_Cell	formats
Seurat	http://edamontology.org/topic_4028	Single-cell sequencing	single-cell genomic	Single_Cell	topics
Seurat	http://edamontology.org/data_0928	DATA Gene expression profile	spatial transcriptomics	Single_Cell	topics
Seurat	http://edamontology.org/format_3603	SVG	svg	Single_Cell	formats
Seurat	http://edamontology.org/data_3768	Clustered expression profiles	table results	Single_Cell	data
Seurat	http://edamontology.org/format_3591	TIFF	tiff	Single_Cell	formats
Seurat	http://edamontology.org/format_3475	TSV	tsv	Single_Cell	formats
Seurat	http://edamontology.org/operation_0337	Visualisation	visualization	Single_Cell	operations
Sniffles2	http://edamontology.org/data_0863	Sequence alignment	alignment file	Genetic_variant	data
Sniffles2	http://edamontology.org/format_2572	BAM	bam	Genetic_variant	formats
Sniffles2	http://edamontology.org/format_3003	BED	bed	Genetic_variant	formats
Sniffles2	http://edamontology.org/operation_3228	Structural variation detection	detection of structural variants	Genetic_variant	topics
Sniffles2	http://edamontology.org/operation_3228	Structural variation detection	detection of structural variants from long reads	Genetic_variant	operations
Sniffles2	http://edamontology.org/format_1929	FASTA	fasta	Genetic_variant	formats
Sniffles2	http://edamontology.org/data_0926	RH scores	reference genome	Genetic_variant	data
Sniffles2	http://edamontology.org/data_3498	Sequence variations	structural sequence variants	Genetic_variant	data
Sniffles2	http://edamontology.org/format_3016	VCF	vcf	Genetic_variant	formats
String.db	http://edamontology.org/operation_3432	Clustering	clustering	Systems_biology	operations
String.db	http://edamontology.org/data_1772	Score	confidence scores	Systems_biology	data
String.db	http://edamontology.org/format_3752	CSV	csv	Systems_biology	formats
String.db	http://edamontology.org/operation_2422	Data retrieval	data retrieval	Systems_biology	operations
String.db	http://edamontology.org/operation_3501	Enrichment analysis	enrichment analysis	Systems_biology	operations
String.db	http://edamontology.org/operation_3927	Biological network analysis	exploration of interaction networks	Systems_biology	operations
String.db	http://edamontology.org/format_1929	FASTA	fasta	Systems_biology	formats
String.db	http://edamontology.org/topic_1775	Function analysis	functional enrichment	Systems_biology	topics
String.db	http://edamontology.org/data_2299	Gene name	gene name	Systems_biology	data
String.db	http://edamontology.org/data_2600	Pathway or network	interaction networks	Systems_biology	data
String.db	http://edamontology.org/format_3464	JSON	json	Systems_biology	formats
String.db	http://edamontology.org/operation_3927	Network analysis	network construction	Systems_biology	operations
String.db	http://edamontology.org/data_2600	Pathway or network	networks	Systems_biology	data
String.db	http://edamontology.org/format_3603	PNG	png	Systems_biology	formats
String.db	http://edamontology.org/data_1009	Protein name	protein name	Systems_biology	data
String.db	http://edamontology.org/data_2976	Protein sequence	protein sequences	Systems_biology	data
String.db	http://edamontology.org/operation_0276	Protein interaction network analysis	protein-protein interaction networks	Systems_biology	topics
String.db	http://edamontology.org/data_2044	Sequence	sequences	Systems_biology	data
String.db	http://edamontology.org/format_3604	SVG	svg	Systems_biology	formats
String.db	http://edamontology.org/topic_2259	Systems biology	systems biology	Systems_biology	topics
String.db	http://edamontology.org/format_3475	TSV	tsv	Systems_biology	formats
String.db	http://edamontology.org/format_2330	Textual format	txt	Systems_biology	formats
String.db	http://edamontology.org/operation_0337	Visualisation	visualization	Systems_biology	operations
String.db	http://edamontology.org/format_2332	XML	xml	Systems_biology	formats
bwa	http://edamontology.org/data_0863	Sequence alignment	alignment file	Genetic_variant	data
bwa	http://edamontology.org/operation_0292	Sequence alignment	alignment of dna sequencing to reference sequence (or genome)	Genetic_variant	operations
bwa	http://edamontology.org/topic_3168	DNA-Seq	dna sequencing	Genetic_variant	topics
bwa	http://edamontology.org/format_1929	FASTA	fasta	Genetic_variant	formats
bwa	http://edamontology.org/format_1930	FASTQ	fastq	Genetic_variant	formats
bwa	http://edamontology.org/operation_0227	Indexing	indexing	Genetic_variant	operations
bwa	http://edamontology.org/data_0926	RH scores	reference genome	Genetic_variant	data
bwa	http://edamontology.org/format_2573	SAM	sam	Genetic_variant	formats
bwa	http://edamontology.org/operation_0292	Sequence alignment	sequence alignment	Genetic_variant	topics
bwa	http://edamontology.org/data_0924	Sequence trace	short sequencing reads	Genetic_variant	data
checkM2	http://edamontology.org/data_0925	Sequence Assembly	contigs	Metagenomic	data
checkM2	http://edamontology.org/format_1929	FASTA	fasta	Metagenomic	formats
checkM2	http://edamontology.org/operation_0362	Genome annotation	genome annotation	Metagenomic	operations
checkM2	http://edamontology.org/operation_3218	Sequencing quality control	genome quality	Metagenomic	operations
checkM2	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
checkM2	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Metagenomic	topics
checkM2	http://edamontology.org/topic_3168	Sequencing	sequencing	Metagenomic	topics
checkM2	http://edamontology.org/data_1872	Taxonomic name	taxonomic annotation	Metagenomic	data
checkM2	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic annotation	Metagenomic	operations
checkM2	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic annotation	Metagenomic	topics
checkM2	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
deconvolutionLab2	http://edamontology.org/format_3547	Image format	image format	Microscopy	formats
deconvolutionLab2	http://edamontology.org/format_3547	Image format	microscopy image format	Microscopy	formats
deconvolutionLab2	http://edamontology.org/data_2968	Image	microscopy images 3d	Microscopy	data
deseq2	http://edamontology.org/operation_0315	Expression profile comparison	condition comparisons	Genetic_variant	topics
deseq2	http://edamontology.org/topic_0203	Gene expression	differential gene expression	Genetic_variant	topics
deseq2	http://edamontology.org/format_3751	DSV	dsv	Genetic_variant	formats
deseq2	http://edamontology.org/data_3113	Sample annotation	experimental design metadata	Genetic_variant	data
deseq2	http://edamontology.org/data_3112	Gene expression matrix	expression matrix	Genetic_variant	data
deseq2	http://edamontology.org/operation_3435	Standardisation and normalisation	normalization of expression matrix	Genetic_variant	operations
deseq2	http://edamontology.org/data_3112	Gene expression matrix	normalize expression matrix	Genetic_variant	data
deseq2	http://edamontology.org/topic_3170	RNA sequencing	rna sequencing	Genetic_variant	topics
deseq2	http://edamontology.org/topic_3170	RNA-Seq	rna-seq	Genetic_variant	topics
deseq2	http://edamontology.org/operation_3223	Differential gene expression profiling	statistical differential gene expression detection	Genetic_variant	operations
eggNOG-mapper	http://edamontology.org/operation_0226	Annotation	annotation of genes and proteins using multiple functional databases	Systems_biology	operations
eggNOG-mapper	http://edamontology.org/format_1929	FASTA	fasta	Systems_biology	formats
eggNOG-mapper	http://edamontology.org/operation_0361	Sequence annotation	functional annotation of proteins	Systems_biology	topics
eggNOG-mapper	http://edamontology.org/topic_0085	Functional genomics	functional genomics	Systems_biology	topics
eggNOG-mapper	http://edamontology.org/data_2044	Sequence	gene sequences	Systems_biology	data
eggNOG-mapper	http://edamontology.org/format_3989	GZIP format	gzip	Systems_biology	formats
eggNOG-mapper	http://edamontology.org/operation_0226	Annotation	hierarchical annotation	Systems_biology	operations
eggNOG-mapper	http://edamontology.org/format_3464	JSON	json	Systems_biology	formats
eggNOG-mapper	http://edamontology.org/operation_2403	Sequence analysis	large-scale sequence analysis	Systems_biology	operations
eggNOG-mapper	http://edamontology.org/topic_3174	Metagenomics	metagenomic annotation	Systems_biology	topics
eggNOG-mapper	http://edamontology.org/data_2977	Nucleic acid sequence	nucleotide sequences	Systems_biology	data
eggNOG-mapper	http://edamontology.org/topic_0623	Gene and protein families	orthology assignment	Systems_biology	topics
eggNOG-mapper	http://edamontology.org/operation_1777	Protein function prediction	protein function prediction	Systems_biology	topics
eggNOG-mapper	http://edamontology.org/data_2976	Protein sequence	protein sequences	Systems_biology	data
eggNOG-mapper	http://edamontology.org/data_1872	Taxonomic classification	taxonomic assignments	Systems_biology	data
htseq-count	http://edamontology.org/format_2572	BAM	bam	Genetic_variant	formats
htseq-count	http://edamontology.org/data_3112	Gene expression matrix	expression matrix	Genetic_variant	data
htseq-count	http://edamontology.org/data_0916	Gene annotation	gene annotation	Genetic_variant	data
htseq-count	http://edamontology.org/format_2306	GTF	gtf	Genetic_variant	formats
htseq-count	http://edamontology.org/topic_3170	RNA sequencing	rna sequencing	Genetic_variant	topics
htseq-count	http://edamontology.org/format_2573	SAM	sam	Genetic_variant	formats
mOTUs	http://edamontology.org/data_3707	Biodiversity data	abundance table	Metagenomic	data
mOTUs	http://edamontology.org/operation_0314	Gene expression profiling	activity profiling	Metagenomic	operations
mOTUs	http://edamontology.org/format_2572	BAM	bam	Metagenomic	formats
mOTUs	http://edamontology.org/format_1930	FASTQ	fastq	Metagenomic	formats
mOTUs	http://edamontology.org/topic_3174	Metagenomics	metagenomics	Metagenomic	topics
mOTUs	http://edamontology.org/topic_0084	Phylogeny	phylogeny	Metagenomic	topics
mOTUs	http://edamontology.org/topic_0080	Sequence analysis	sequence analysis	Metagenomic	topics
mOTUs	http://edamontology.org/topic_3168	Sequencing	sequencing	Metagenomic	topics
mOTUs	http://edamontology.org/data_1872	Taxonomic name	taxonomic annotation	Metagenomic	data
mOTUs	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic annotation	Metagenomic	operations
mOTUs	http://edamontology.org/operation_3460	Taxonomic classification	taxonomic profiling	Metagenomic	topics
mOTUs	http://edamontology.org/format_3475	TSV	tsv	Metagenomic	formats
mOTUs	http://edamontology.org/operation_0337	Visualisation	visualization	Metagenomic	operations
mOTUs	http://edamontology.org/topic_0769	Workflows	workflow	Metagenomic	operations
