EDAM term URI	candidate EDAM term label	tools	annotation	domain	edam_category
http://edamontology.org/topic_3292	Biochemistry	Fluxer	biochemistry education	Systems_biology	topics
http://edamontology.org/operation_3926	Pathway visualisation	Fluxer	pathway visualization	Systems_biology	topics
http://edamontology.org/operation_3501	Enrichment analysis	GSEA	enrichment analysis	Systems_biology	topics
http://edamontology.org/operation_3672	Gene functional annotation	GSEA	functional annotation	Systems_biology	topics
http://edamontology.org/operation_3928	Pathway analysis	GSEA	pathway analysis	Systems_biology	topics
http://edamontology.org/topic_0085	Functional genomics	GSEA, eggNOG-mapper	functional genomics	Systems_biology	topics
http://edamontology.org/operation_3935	Dimensionality reduction	MOFA2	dimensionality reduction	Systems_biology	topics
http://edamontology.org/operation_3935	Dimensionality reduction	MOFA2	factor analysis	Systems_biology	topics
http://edamontology.org/operation_3935	Dimension reduction	MOFA2	joint dimension reduction	Systems_biology	topics
http://edamontology.org/topic_4021	Multiomics 	MOFA2, SNF 	multi-omics data integration	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	MULTIXRANK, RWR, SNF	network analysis	Systems_biology	topics
http://edamontology.org/operation_2454	Gene prediction	RWR	disease gene prediction	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	RWR	network propagation	Systems_biology	topics
http://edamontology.org/operation_3432	Clustering	SNF	clustering	Systems_biology	topics
http://edamontology.org/operation_3927	Network analysis	SNF	network integration	Systems_biology	topics
http://edamontology.org/topic_3577	Personalised medicine	SNF	patient stratification	Systems_biology	topics
http://edamontology.org/topic_1775	Function analysis	String.db	functional enrichment	Systems_biology	topics
http://edamontology.org/operation_0276	Protein interaction network analysis	String.db	protein-protein interaction networks	Systems_biology	topics
http://edamontology.org/data_0863	Sequence alignment	STAR, Samtools_index, Sniffles2, bwa	alignment file	Genetic_variant	data
http://edamontology.org/data_0925	Sequence assembly	Canu	assembled contigs	Genetic_variant	data
http://edamontology.org/data_0925	Sequence assembly	Canu	assembled scaffolds	Genetic_variant	data
http://edamontology.org/data_3753	Enrichment report	ClusterProfiler	enrichment results	Genetic_variant	data
http://edamontology.org/data_3113	Sample annotation	deseq2	experimental design metadata	Genetic_variant	data
http://edamontology.org/data_3112	Gene expression matrix	deseq2, htseq-count	expression matrix	Genetic_variant	data
http://edamontology.org/data_0916	Gene annotation	STAR, htseq-count	gene annotation	Genetic_variant	data
http://edamontology.org/data_3210	Genome index	Samtools_index	index alignment file	Genetic_variant	data
http://edamontology.org/data_3112	Gene expression matrix	deseq2	normalize expression matrix	Genetic_variant	data
http://edamontology.org/data_2353	Ontology data	ClusterProfiler	ontology datasets	Genetic_variant	data
http://edamontology.org/data_0924	Sequence trace	Canu	raw long sequencing reads	Genetic_variant	data
http://edamontology.org/data_0924	Sequence trace	Minimap2	raw reads	Genetic_variant	data
http://edamontology.org/data_0924	Sequence trace	STAR	raw sequencing reads	Genetic_variant	data
http://edamontology.org/data_0926	RH scores	Minimap2, STAR, Sniffles2, bwa	reference genome	Genetic_variant	data
http://edamontology.org/data_1234	Sequence set (nucleic acid)	Minimap2	reference reads	Genetic_variant	data
http://edamontology.org/data_0863	Sequence alignment	Minimap2	sequence alignment formats	Genetic_variant	data
http://edamontology.org/data_0924	Sequence trace	bwa	short sequencing reads	Genetic_variant	data
http://edamontology.org/data_3498	Sequence variations	Sniffles2	structural sequence variants	Genetic_variant	data
http://edamontology.org/data_1234	Sequence set (nucleic acid)	Canu	unassembled corrected reads	Genetic_variant	data
http://edamontology.org/operation_0337	Visualisation	ClusterProfiler	visualizations	Genetic_variant	data
http://edamontology.org/format_3327	BAI	Samtools_index	bai	Genetic_variant	formats
http://edamontology.org/format_2572	BAM	STAR, Samtools_index, Sniffles2, htseq-count	bam	Genetic_variant	formats
http://edamontology.org/format_3003	BED	Bedtools_annotate, Sniffles2	bed	Genetic_variant	formats
http://edamontology.org/format_3326	Data index format	Samtools_index	crai	Genetic_variant	formats
http://edamontology.org/format_3462	CRAM	Samtools_index	cram	Genetic_variant	formats
http://edamontology.org/format_3326	Data index format	Samtools_index	csi	Genetic_variant	formats
http://edamontology.org/format_3751	DSV	ClusterProfiler, deseq2	dsv	Genetic_variant	formats
http://edamontology.org/format_1929	FASTA	Canu, Minimap2, STAR, Sniffles2, bwa	fasta	Genetic_variant	formats
http://edamontology.org/format_1930	FASTQ	Canu, Minimap2, STAR, bwa	fastq	Genetic_variant	formats
http://edamontology.org/format_3976	GFA 2	Canu	gfa	Genetic_variant	formats
http://edamontology.org/format_2306	GTF	STAR, htseq-count	gtf	Genetic_variant	formats
http://edamontology.org/format_3547	Image format	ClusterProfiler	image format	Genetic_variant	formats
http://edamontology.org/format_3326	Data index format	Minimap2	mmi	Genetic_variant	formats
http://edamontology.org/format_2573	SAM	Minimap2, STAR, Samtools_index, bwa, htseq-count	sam	Genetic_variant	formats
http://edamontology.org/format_3016	VCF	Bedtools_annotate, Sniffles2	vcf	Genetic_variant	formats
http://edamontology.org/operation_0292	Sequence alignment	bwa	alignment of dna sequencing to reference sequence (or genome)	Genetic_variant	operations
http://edamontology.org/operation_0292	Sequence alignment	Minimap2	alignment of long reads to reference sequence (or genome)	Genetic_variant	operations
http://edamontology.org/operation_0292	Sequence alignment	STAR	alignment of rna sequencing to reference sequence (or genome)	Genetic_variant	operations
http://edamontology.org/operation_0227	Indexing	bwa, Minimap2, STAR	indexing	Genetic_variant	operations
http://edamontology.org/operation_0310	Sequence assembly	Canu	contig assembly	Genetic_variant	operations
http://edamontology.org/topic_0092	Data visualisation	ClusterProfiler	data visualization	Genetic_variant	operations
http://edamontology.org/operation_3228	Structural variation detection	Sniffles2	detection of structural variants from long reads	Genetic_variant	operations
http://edamontology.org/operation_2436	Gene-set enrichment analysis	ClusterProfiler	gene set enrichment analysis	Genetic_variant	operations
http://edamontology.org/operation_3282	ID mapping	ClusterProfiler	id conversion	Genetic_variant	operations
http://edamontology.org/operation_0227	Indexing	Samtools_index	indexing alignment file	Genetic_variant	operations
http://edamontology.org/operation_3435	Standardisation and normalisation	deseq2	normalization of expression matrix	Genetic_variant	operations
http://edamontology.org/operation_2436	Gene-set enrichment analysis	ClusterProfiler	over-representation analysis	Genetic_variant	operations
http://edamontology.org/operation_0232	Sequence merging	Canu	read correction	Genetic_variant	operations
http://edamontology.org/operation_3198	Read mapping	STAR	read mapping	Genetic_variant	operations
http://edamontology.org/operation_3192	Sequence trimming	Canu	read trimming	Genetic_variant	operations
http://edamontology.org/operation_3672	Sequence functional annotation	ClusterProfiler	semantic similarity analysis	Genetic_variant	operations
http://edamontology.org/operation_3223	Differential gene expression profiling	deseq2	statistical differential gene expression detection	Genetic_variant	operations
http://edamontology.org/operation_3432	Clustering	ClusterProfiler	clustering	Genetic_variant	topics
http://edamontology.org/operation_0315	Expression profile comparison	deseq2	condition comparisons	Genetic_variant	topics
http://edamontology.org/operation_0524	De-novo assembly	Canu	de novo assembly	Genetic_variant	topics
http://edamontology.org/operation_3228	Structural variation detection	Sniffles2	detection of structural variants	Genetic_variant	topics
http://edamontology.org/topic_0203	Gene expression	deseq2	differential gene expression	Genetic_variant	topics
http://edamontology.org/topic_0080	Sequence analysis	Minimap2	dna sequence aligner to reference sequences	Genetic_variant	topics
http://edamontology.org/topic_3168	DNA-Seq	Samtools_index, bwa	dna sequencing	Genetic_variant	topics
http://edamontology.org/operation_3501	Enrichment analysis	ClusterProfiler	enrichment analysis for omics data	Genetic_variant	topics
http://edamontology.org/operation_3219	Read pre-processing	Canu	long read data processing	Genetic_variant	topics
http://edamontology.org/operation_0292	Sequence alignment	Minimap2	rna sequence aligner to reference sequences	Genetic_variant	topics
http://edamontology.org/topic_3170	RNA sequencing	STAR, deseq2, htseq-count	rna sequencing	Genetic_variant	topics
http://edamontology.org/topic_3170	RNA-Seq	deseq2	rna-seq	Genetic_variant	topics
http://edamontology.org/operation_0292	Sequence alignment	STAR, Samtools_index, bwa	sequence alignment	Genetic_variant	topics
http://edamontology.org/operation_2945	Analysis	ClusterProfiler	visualization of enrichment data	Genetic_variant	topics
http://edamontology.org/data_2082	Matrix	EcClem	list of paired points	Microscopy	data
http://edamontology.org/data_2968	Image	CellPose, EcClem	microscopy images 2d	Microscopy	data
http://edamontology.org/data_2968	Image	CellPose, EcClem, deconvolutionLab2	microscopy images 3d	Microscopy	data
http://edamontology.org/data_2968	Image	EcClem	overlay image	Microscopy	data
http://edamontology.org/data_0006	Data set	CellPose	structured dataset	Microscopy	data
http://edamontology.org/data_2082	Matrix	EcClem	transformation matrix	Microscopy	data
http://edamontology.org/data_2968	Image	EcClem	transformed source image	Microscopy	data
http://edamontology.org/format_3752	CSV	EcClem	csv	Microscopy	formats
http://edamontology.org/format_3547	Image format	Big-FISH, EcClem, deconvolutionLab2	image format	Microscopy	formats
http://edamontology.org/format_2330	Textual format	CellPose	imagej rois	Microscopy	formats
http://edamontology.org/format_3579	JPEG	CellPose	jpegs	Microscopy	formats
http://edamontology.org/format_3547	Image format	EcClem, deconvolutionLab2	microscopy image format	Microscopy	formats
http://edamontology.org/format_2333	Binary format	CellPose	model cellpose	Microscopy	formats
http://edamontology.org/format_2333	Binary format	CellPose	npy	Microscopy	formats
http://edamontology.org/format_3603	PNG	Big-FISH, CellPose	png	Microscopy	formats
http://edamontology.org/format_3591	TIFF	Big-FISH, CellPose	tiff	Microscopy	formats
http://edamontology.org/format_2332	XML	EcClem	xml	Microscopy	formats
http://edamontology.org/operation_0226	Annotation	CellPose	annotation	Microscopy	operations
http://edamontology.org/operation_2426	Modelling and simulation	EcClem	error estimation	Microscopy	operations
http://edamontology.org/operation_0295	Structure alignment	EcClem	fiducial list based registration	Microscopy	operations
http://edamontology.org/operation_3443	Image analysis	CellPose	segmentation 2d	Microscopy	operations
http://edamontology.org/operation_3443	Image analysis	CellPose	segmentation 3d	Microscopy	operations
http://edamontology.org/topic_2229	Cell biology	CellPose	cell segmentation	Microscopy	topics
http://edamontology.org/topic_3382	Imaging	EcClem	correlative microscopy	Microscopy	topics
http://edamontology.org/topic_3382	Imaging	CellPose	optical microscopy	Microscopy	topics
